Electrode_ID,Neuron_ID,Spike_Frame,Spike_Time_Seconds
Ch51,Ch51_U1,165965,4.149125
Ch21,Ch21_U2,165969,4.149225
Ch30,Ch30_U2,166028,4.1507
Ch51,Ch51_U1,166031,4.150775
Ch38,Ch38_U2,166037,4.150925
Ch51,Ch51_U1,166045,4.151125
Ch36,Ch36_U2,166070,4.15175
Ch51,Ch51_U1,166083,4.152075
Ch30,Ch30_U1,166092,4.1523
Ch51,Ch51_U1,166095,4.152375
Ch0,Ch0_U1,166119,4.152975
Ch36,Ch36_U3,166144,4.1536
Ch51,Ch51_U1,166171,4.154275
Ch36,Ch36_U1,166187,4.154675
Ch36,Ch36_U2,166204,4.1551
Ch35,Ch35_U1,166214,4.15535
Ch0,Ch0_U1,166215,4.155375
Ch51,Ch51_U1,166276,4.1569
Ch36,Ch36_U2,166279,4.156975
Ch36,Ch36_U2,166311,4.157775
Ch0,Ch0_U1,166314,4.15785
Ch36,Ch36_U1,166356,4.1589
Ch51,Ch51_U1,166408,4.1602
Ch0,Ch0_U1,166452,4.1613
Ch8,Ch8_U2,166458,4.16145
Ch0,Ch0_U1,166580,4.1645
Ch30,Ch30_U1,166600,4.165
Ch36,Ch36_U1,166698,4.16745
Ch30,Ch30_U2,166734,4.16835
Ch22,Ch22_U2,166765,4.169125
Ch0,Ch0_U1,166768,4.1692
Ch51,Ch51_U1,166883,4.172075
Ch30,Ch30_U1,166891,4.172275
Ch36,Ch36_U2,166917,4.172925
Ch36,Ch36_U1,166929,4.173225
Ch0,Ch0_U1,166950,4.17375
Ch30,Ch30_U1,166999,4.174975
Ch54,Ch54_U3,167075,4.176875
Ch30,Ch30_U1,167135,4.178375
Ch0,Ch0_U1,167138,4.17845
Ch54,Ch54_U3,167213,4.180325
Ch51,Ch51_U1,167291,4.182275
Ch30,Ch30_U2,167315,4.182875
Ch26,Ch26_U2,167323,4.183075
Ch54,Ch54_U3,167337,4.183425
Ch0,Ch0_U1,167367,4.184175
Ch30,Ch30_U2,167381,4.184525
Ch21,Ch21_U2,167513,4.187825
Ch36,Ch36_U2,167564,4.1891
Ch51,Ch51_U1,167573,4.189325
Ch44,Ch44_U1,167598,4.18995
Ch51,Ch51_U1,167738,4.19345
Ch26,Ch26_U4,167760,4.194
Ch30,Ch30_U2,167778,4.19445
